G1, Most Important Index: G25, Top 3 Important Indices: ['G25' 'G50' 'G87'], MSE: 0.00156638214922, Data Var: 0.00241125334881
G10, Most Important Index: G30, Top 3 Important Indices: ['G30' 'G8' 'G94'], MSE: 0.00520866250843, Data Var: 0.00442745332711
G15, Most Important Index: G20, Top 3 Important Indices: ['G20' 'G32' 'G9'], MSE: 8.28284338112e-05, Data Var: 6.5667450699e-05
G23, Most Important Index: G24, Top 3 Important Indices: ['G24' 'G74' 'G25'], MSE: 0.00187871741125, Data Var: 0.00991485532098
G25, Most Important Index: G87, Top 3 Important Indices: ['G87' 'G59' 'G1'], MSE: 0.00101325100373, Data Var: 0.0025026593896
G37, Most Important Index: G76, Top 3 Important Indices: ['G76' 'G47' 'G36'], MSE: 0.00254358968458, Data Var: 0.0152180753901
G38, Most Important Index: G16, Top 3 Important Indices: ['G16' 'G88' 'G19'], MSE: 0.000585731448855, Data Var: 0.000389131863814
G44, Most Important Index: G18, Top 3 Important Indices: ['G18' 'G10' 'G55'], MSE: 0.0031153458517, Data Var: 0.00266035448466
G45, Most Important Index: G42, Top 3 Important Indices: ['G42' 'G90' 'G5'], MSE: 0.00388279447763, Data Var: 0.00335851199447
G54, Most Important Index: G2, Top 3 Important Indices: ['G2' 'G58' 'G97'], MSE: 0.00463381651898, Data Var: 0.00457138094822
G55, Most Important Index: G44, Top 3 Important Indices: ['G44' 'G10' 'G30'], MSE: 0.00501652899007, Data Var: 0.00378419226748
G57, Most Important Index: G97, Top 3 Important Indices: ['G97' 'G58' 'G2'], MSE: 0.00202081473452, Data Var: 0.00204266946525
G62, Most Important Index: G97, Top 3 Important Indices: ['G97' 'G60' 'G2'], MSE: 0.00272984497018, Data Var: 0.00501724570433
G63, Most Important Index: G51, Top 3 Important Indices: ['G51' 'G45' 'G42'], MSE: 0.0104550206042, Data Var: 0.00963690872305
G64, Most Important Index: G94, Top 3 Important Indices: ['G94' 'G92' 'G8'], MSE: 0.0033845654918, Data Var: 0.00309981206082
G65, Most Important Index: G18, Top 3 Important Indices: ['G18' 'G55' 'G30'], MSE: 0.0051931830336, Data Var: 0.00471206184768
G66, Most Important Index: G4, Top 3 Important Indices: ['G4' 'G56' 'G28'], MSE: 0.00359257032387, Data Var: 0.00378174121344
